image_fn,label_fn,group
/archive/cold0/tanrui/IEEEData/546_naip-2013.tif,/archive/cold0/tanrui/IEEEData/546_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/546_naip-2017.tif,/archive/cold0/tanrui/IEEEData/546_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/597_naip-2013.tif,/archive/cold0/tanrui/IEEEData/597_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/597_naip-2017.tif,/archive/cold0/tanrui/IEEEData/597_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/596_naip-2013.tif,/archive/cold0/tanrui/IEEEData/596_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/596_naip-2017.tif,/archive/cold0/tanrui/IEEEData/596_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/595_naip-2013.tif,/archive/cold0/tanrui/IEEEData/595_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/595_naip-2017.tif,/archive/cold0/tanrui/IEEEData/595_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/541_naip-2013.tif,/archive/cold0/tanrui/IEEEData/541_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/541_naip-2017.tif,/archive/cold0/tanrui/IEEEData/541_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/497_naip-2013.tif,/archive/cold0/tanrui/IEEEData/497_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/497_naip-2017.tif,/archive/cold0/tanrui/IEEEData/497_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/496_naip-2013.tif,/archive/cold0/tanrui/IEEEData/496_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/496_naip-2017.tif,/archive/cold0/tanrui/IEEEData/496_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/545_naip-2013.tif,/archive/cold0/tanrui/IEEEData/545_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/545_naip-2017.tif,/archive/cold0/tanrui/IEEEData/545_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/544_naip-2013.tif,/archive/cold0/tanrui/IEEEData/544_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/544_naip-2017.tif,/archive/cold0/tanrui/IEEEData/544_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/543_naip-2013.tif,/archive/cold0/tanrui/IEEEData/543_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/543_naip-2017.tif,/archive/cold0/tanrui/IEEEData/543_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/542_naip-2013.tif,/archive/cold0/tanrui/IEEEData/542_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/542_naip-2017.tif,/archive/cold0/tanrui/IEEEData/542_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/1033_naip-2013.tif,/archive/cold0/tanrui/IEEEData/1033_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/1033_naip-2017.tif,/archive/cold0/tanrui/IEEEData/1033_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/1032_naip-2013.tif,/archive/cold0/tanrui/IEEEData/1032_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/1032_naip-2017.tif,/archive/cold0/tanrui/IEEEData/1032_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/1031_naip-2013.tif,/archive/cold0/tanrui/IEEEData/1031_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/1031_naip-2017.tif,/archive/cold0/tanrui/IEEEData/1031_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/1030_naip-2013.tif,/archive/cold0/tanrui/IEEEData/1030_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/1030_naip-2017.tif,/archive/cold0/tanrui/IEEEData/1030_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/1083_naip-2013.tif,/archive/cold0/tanrui/IEEEData/1083_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/1083_naip-2017.tif,/archive/cold0/tanrui/IEEEData/1083_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/1082_naip-2013.tif,/archive/cold0/tanrui/IEEEData/1082_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/1082_naip-2017.tif,/archive/cold0/tanrui/IEEEData/1082_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/1081_naip-2013.tif,/archive/cold0/tanrui/IEEEData/1081_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/1081_naip-2017.tif,/archive/cold0/tanrui/IEEEData/1081_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/979_naip-2013.tif,/archive/cold0/tanrui/IEEEData/979_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/979_naip-2017.tif,/archive/cold0/tanrui/IEEEData/979_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/978_naip-2013.tif,/archive/cold0/tanrui/IEEEData/978_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/978_naip-2017.tif,/archive/cold0/tanrui/IEEEData/978_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/977_naip-2013.tif,/archive/cold0/tanrui/IEEEData/977_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/977_naip-2017.tif,/archive/cold0/tanrui/IEEEData/977_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/976_naip-2013.tif,/archive/cold0/tanrui/IEEEData/976_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/976_naip-2017.tif,/archive/cold0/tanrui/IEEEData/976_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/1029_naip-2013.tif,/archive/cold0/tanrui/IEEEData/1029_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/1029_naip-2017.tif,/archive/cold0/tanrui/IEEEData/1029_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/1028_naip-2013.tif,/archive/cold0/tanrui/IEEEData/1028_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/1028_naip-2017.tif,/archive/cold0/tanrui/IEEEData/1028_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/1027_naip-2013.tif,/archive/cold0/tanrui/IEEEData/1027_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/1027_naip-2017.tif,/archive/cold0/tanrui/IEEEData/1027_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/1141_naip-2013.tif,/archive/cold0/tanrui/IEEEData/1141_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/1141_naip-2017.tif,/archive/cold0/tanrui/IEEEData/1141_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/1140_naip-2013.tif,/archive/cold0/tanrui/IEEEData/1140_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/1140_naip-2017.tif,/archive/cold0/tanrui/IEEEData/1140_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/1139_naip-2013.tif,/archive/cold0/tanrui/IEEEData/1139_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/1139_naip-2017.tif,/archive/cold0/tanrui/IEEEData/1139_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/1138_naip-2013.tif,/archive/cold0/tanrui/IEEEData/1138_nlcd-2013.tif,0
/archive/cold0/tanrui/IEEEData/1138_naip-2017.tif,/archive/cold0/tanrui/IEEEData/1138_nlcd-2016.tif,1
/archive/cold0/tanrui/IEEEData/1191_naip-2013.tif,/archive/cold0/tanrui/IEEEData/1191_nlcd-2013.tif,0
